inventory_id,product_id,warehouse_id,quantity_available,quantity_reserved,reorder_point,last_restock_date,last_stock_check,bin_location
6001,2001,5,128,49,50,2024-09-27 17:07:00,2024-10-22 17:07:00,d-54-83
6002,2002,2,286,5,30,2024-08-02 10:14:00,2024-09-17 10:14:00,h-67-38
6003,2003,1,376,8,20,2024-06-16 13:12:00,2024-07-31 13:12:00,y-95-89
6004,2003,3,47,0,30,2024-07-24 02:47:00,2024-08-14 02:47:00,P-99-03
6005,2003,5,242,21,100,2024-06-28 23:16:00,2024-08-06 23:16:00,R-99-50
6006,2004,3,176,32,20,2024-04-08 04:45:00,2024-04-11 04:45:00,D-50-40
6007,2005,4,207,19,10,2024-06-16 15:14:00,2024-07-14 15:14:00,N-35-88
6008,2006,2,107,12,20,2023-04-11 05:01:00,2023-05-21 05:01:00,S-08-21
6009,2006,3,375,25,50,2023-12-04 12:01:00,2024-01-05 12:01:00,v-77-18
6010,2007,2,236,16,30,2023-03-01 10:08:00,2023-04-27 10:08:00,d-79-08
6011,2007,4,378,36,50,2023-10-22 11:19:00,2023-11-30 11:19:00,p-15-64
6012,2008,1,147,34,50,2024-03-09 05:56:00,2024-05-05 05:56:00,u-88-97
6013,2008,5,168,22,50,2023-08-21 17:48:00,2023-09-24 17:48:00,I-49-34
6014,2009,2,214,6,30,2024-12-05 16:30:00,2025-01-28 16:30:00,a-54-31
6015,2010,1,226,39,10,2023-05-25 06:48:00,2023-06-23 06:48:00,w-45-37
6016,2011,1,99,26,50,2024-01-11 00:35:00,2024-01-18 00:35:00,c-02-67
6017,2011,4,161,44,30,2023-11-16 12:57:00,2023-12-04 12:57:00,v-53-75
6018,2012,4,355,16,10,2023-05-14 21:12:00,2023-07-03 21:12:00,I-02-86
6019,2012,1,84,6,10,2024-11-07 12:41:00,2024-11-30 12:41:00,m-78-21
6020,2012,2,116,3,100,2023-04-19 06:55:00,2023-05-20 06:55:00,O-14-75
6021,2013,1,15,9,50,2023-07-13 17:15:00,2023-07-20 17:15:00,v-66-96
6022,2014,4,287,26,50,2023-06-07 20:51:00,2023-07-17 20:51:00,N-06-07
6023,2014,5,383,4,30,2024-12-18 13:57:00,2024-12-25 13:57:00,I-93-94
6024,2015,2,134,6,20,2024-03-16 22:58:00,2024-03-27 22:58:00,A-18-85
6025,2015,3,201,47,20,2023-08-22 04:50:00,2023-10-16 04:50:00,A-87-18
6026,2016,1,184,20,100,2023-05-02 19:16:00,2023-06-21 19:16:00,A-11-59
6027,2016,5,385,4,100,2024-09-05 02:42:00,2024-09-22 02:42:00,h-45-66
6028,2017,3,343,2,30,2023-09-08 03:05:00,2023-10-28 03:05:00,z-29-10
6029,2017,5,242,9,100,2024-09-20 12:32:00,2024-10-12 12:32:00,b-05-41
6030,2018,1,124,49,30,2024-01-13 16:46:00,2024-02-28 16:46:00,N-24-16
6031,2019,1,85,18,100,2023-06-23 23:55:00,2023-08-06 23:55:00,Y-63-00
6032,2020,3,107,8,100,2024-03-05 08:36:00,2024-04-15 08:36:00,C-69-48
6033,2020,2,36,12,50,2024-09-24 08:34:00,2024-11-10 08:34:00,i-85-49
6034,2021,4,388,9,50,2024-01-14 08:34:00,2024-02-24 08:34:00,W-24-09
6035,2022,3,121,35,10,2024-10-01 19:01:00,2024-10-13 19:01:00,p-77-50
