order_item_id,order_id,product_id,quantity,unit_price,total_price
4001,3001,2169,2,68.19,136.38
4002,3001,2621,2,1813.52,3627.04
4003,3002,2995,3,399.96,1199.88
4004,3002,2106,1,58.62,58.62
4005,3002,2825,4,57.79,231.16
4006,3003,2390,1,10.32,10.32
4007,3004,2656,1,14.33,14.33
4008,3004,2695,4,419.82,1679.28
4009,3005,2421,4,181.16,724.64
4010,3005,2500,1,1037.75,1037.75
4011,3006,2297,1,9.13,9.13
4012,3007,2343,3,172.54,517.62
4013,3008,2342,3,12.55,37.65
4014,3009,2460,2,15.25,30.5
4015,3009,2514,3,8.79,26.37
4016,3010,2768,4,24.64,98.56
4017,3010,2153,2,1830.32,3660.64
4018,3011,2184,2,1529.47,3058.94
4019,3011,2394,2,691.96,1383.92
4020,3011,2797,3,706.46,2119.38
4021,3011,2459,1,60.77,60.77
4022,3012,2287,2,794.53,1589.06
4023,3012,2761,3,247.04,741.12
4024,3012,2801,1,1890.16,1890.16
4025,3012,2529,4,1369.57,5478.28
4026,3012,2338,4,192.64,770.56
4027,3013,2882,4,1493.81,5975.24
4028,3013,2595,4,27.34,109.36
4029,3014,2207,3,8.73,26.19
4030,3014,2256,1,8.81,8.81
4031,3014,2740,3,27.76,83.28
4032,3015,2102,2,122.98,245.96
4033,3015,2030,1,275.21,275.21
4034,3016,2303,2,92.24,184.48
4035,3017,2666,3,12.29,36.87
4036,3018,2024,1,8.5,8.5
4037,3018,2746,2,1822.29,3644.58
4038,3018,2358,3,69.91,209.73
4039,3019,2213,3,29.4,88.2
4040,3019,2597,4,224.81,899.24
4041,3019,2601,2,206.01,412.02
4042,3020,2605,2,54.84,109.68
4043,3020,2544,4,98.72,394.88
4044,3020,2557,4,94.53,378.12
4045,3020,2810,4,1308.41,5233.64
4046,3020,2741,3,26.68,80.04
4047,3021,2818,1,170.47,170.47
4048,3021,2546,4,8.4,33.6
4049,3022,2579,1,112.12,112.12
4050,3022,2566,4,741.44,2965.76
4051,3022,2522,1,846.29,846.29
4052,3022,2321,2,31.84,63.68
4053,3023,2646,1,737.99,737.99
4054,3023,2277,3,81.51,244.53
4055,3024,2867,2,775.08,1550.16
4056,3024,2022,2,78.75,157.5
4057,3024,2404,4,96.87,387.48
4058,3025,2772,2,15.65,31.3
4059,3025,2526,2,20.55,41.1
4060,3025,2047,4,59.21,236.84
4061,3026,2262,3,1634.54,4903.62
4062,3026,2255,4,68.0,272.0
4063,3026,2276,2,1274.32,2548.64
4064,3027,2578,3,1138.88,3416.64
4065,3027,2068,3,162.32,486.96
4066,3027,2451,4,51.22,204.88
4067,3028,2488,3,60.02,180.06
4068,3029,2716,2,1823.93,3647.86
4069,3029,2221,3,20.14,60.42
4070,3030,2933,2,1590.93,3181.86
4071,3031,2636,1,235.65,235.65
4072,3031,2989,1,1125.35,1125.35
4073,3032,2923,4,74.69,298.76
4074,3032,2413,1,1048.75,1048.75
4075,3032,2436,3,35.18,105.54
4076,3032,2725,2,6.83,13.66
4077,3033,2617,4,17.44,69.76
4078,3034,2391,3,739.08,2217.24
4079,3034,2321,1,32.45,32.45
4080,3034,2011,4,68.56,274.24
4081,3035,2255,3,61.01,183.03
4082,3035,2182,4,77.03,308.12
4083,3036,2731,4,197.67,790.68
4084,3036,2831,2,227.19,454.38
4085,3036,2263,4,86.57,346.28
4086,3036,2664,2,69.61,139.22
4087,3037,2605,1,57.5,57.5
4088,3037,2796,1,425.3,425.3
4089,3038,2807,4,14.6,58.4
4090,3038,2572,3,10.86,32.58
4091,3039,2627,3,5.51,16.53
4092,3039,2596,2,810.47,1620.94
4093,3040,2045,4,14.4,57.6
4094,3040,2515,2,19.47,38.94
4095,3041,2187,4,67.91,271.64
4096,3042,2962,1,29.87,29.87
4097,3042,2983,4,82.09,328.36
4098,3043,2882,4,1472.26,5889.04
4099,3043,2827,2,33.46,66.92
4100,3043,2102,4,116.89,467.56
4101,3044,2726,4,696.39,2785.56
4102,3045,2094,1,251.83,251.83
4103,3045,2152,4,714.23,2856.92
4104,3046,2809,3,140.62,421.86
4105,3046,2478,3,73.19,219.57
4106,3047,2367,3,48.38,145.14
4107,3047,2700,1,15.89,15.89
4108,3047,2045,1,14.4,14.4
4109,3048,2632,3,659.42,1978.26
4110,3048,2321,2,36.27,72.54
4111,3048,2559,3,25.0,75.0
4112,3048,2749,4,457.22,1828.88
4113,3049,2585,1,36.66,36.66
4114,3050,2863,3,21.87,65.61
4115,3050,2084,2,10.37,20.74
4116,3050,2077,1,237.72,237.72
4117,3050,2945,4,22.08,88.32
4118,3051,2363,1,55.49,55.49
4119,3052,2641,2,94.59,189.18
4120,3052,2266,4,205.16,820.64
4121,3053,2227,4,30.28,121.12
4122,3053,2511,2,96.72,193.44
4123,3054,2385,4,45.81,183.24
4124,3054,2701,4,318.89,1275.56
4125,3054,2195,4,45.9,183.6
4126,3055,2859,4,1624.96,6499.84
4127,3055,2993,2,315.14,630.28
4128,3056,2862,1,11.43,11.43
4129,3056,2353,2,85.6,171.2
4130,3057,2901,2,329.64,659.28
4131,3057,2670,1,71.62,71.62
4132,3057,2961,2,19.95,39.9
4133,3058,2981,1,1264.32,1264.32
4134,3058,2670,2,74.29,148.58
4135,3058,2013,2,257.08,514.16
4136,3058,2004,4,1539.17,6156.68
4137,3059,2921,1,90.71,90.71
4138,3059,2789,1,138.69,138.69
4139,3059,2025,4,803.32,3213.28
4140,3059,2332,1,36.4,36.4
4141,3059,2253,1,31.16,31.16
4142,3060,2773,2,187.02,374.04
4143,3060,2538,2,6.1,12.2
4144,3061,2478,3,67.96,203.88
4145,3062,2345,2,603.98,1207.96
4146,3063,2755,2,588.9,1177.8
4147,3063,2232,2,5.63,11.26
4148,3064,2552,3,1349.22,4047.66
4149,3064,2854,2,539.04,1078.08
4150,3065,2895,4,158.46,633.84
4151,3065,2955,2,21.2,42.4
4152,3066,2351,4,166.56,666.24
4153,3066,2576,4,62.75,251.0
4154,3066,2569,4,70.47,281.88
4155,3067,2526,1,21.68,21.68
4156,3067,2001,1,930.32,930.32
4157,3067,2676,2,37.19,74.38
4158,3067,2473,1,1296.15,1296.15
4159,3068,2272,2,553.66,1107.32
4160,3068,2878,4,421.26,1685.04
4161,3069,2063,1,160.15,160.15
4162,3069,2012,2,21.09,42.18
4163,3070,2889,3,670.67,2012.01
4164,3070,2146,3,35.21,105.63
4165,3071,2216,4,420.74,1682.96
4166,3071,2971,4,43.33,173.32
4167,3071,2577,1,162.66,162.66
4168,3071,2222,4,533.5,2134.0
4169,3072,2257,2,1311.06,2622.12
4170,3072,2725,1,6.61,6.61
4171,3073,2690,2,459.95,919.9
4172,3074,2166,4,416.89,1667.56
4173,3074,2765,1,30.92,30.92
4174,3074,2382,2,53.59,107.18
4175,3075,2246,2,72.53,145.06
4176,3075,2144,4,199.64,798.56
4177,3076,2485,3,25.46,76.38
4178,3076,2346,4,1206.79,4827.16
4179,3076,2015,1,22.46,22.46
4180,3077,2012,3,23.4,70.2
4181,3078,2533,3,1345.8,4037.4
4182,3078,2242,1,232.85,232.85
4183,3078,2972,1,190.12,190.12
