product_id,product_name,category,brand,price,stock_quantity,description,created_at
2001,Smart Shirt,Running Shoes,Canon,1014.71,442,Area never memory hold lawyer any bring rock national service.,2022-04-17 23:50:00
2002,Advanced Monitor,Face Moisturizers,Sony,132.18,360,Yeah light concern scientist company lot close base.,2022-01-08 02:46:00
2003,Deluxe Lamp,Kids' Clothing,Uniqlo,8.49,491,Report mother suddenly entire level air scene.,2022-04-06 21:22:00
2004,Premium Pillow,Video Games,Scholastic,1614.98,167,Less film successful shake time baby Republican billion into property whose finish word.,2023-01-05 00:43:00
2005,Advanced Pillow,Cameras,Apple,1840.52,415,On heart card rock another onto reduce often.,2022-02-15 14:10:00
2006,Deluxe Monitor,Medical Devices,Boost,81.32,174,Thank red possible subject five fast kitchen reason father thus maintain future production dog.,2022-10-23 13:12:00
2007,Deluxe Shoes,TV & Audio,Bose,51.33,391,Generation fact must above staff present support test here student.,2022-10-11 03:15:00
2008,Eco Backpack,Hair Care,Dove,171.49,443,Woman treatment room focus base party each I century actually beat book wonder.,2022-06-30 17:53:00
2009,Classic Lamp,Casual Shoes,Sony,39.44,407,Tree budget thought most he usually base might I.,2023-04-15 18:42:00
2010,Elite Lamp,Building Toys,Crayola,85.85,68,Sound different or hour concern never modern school politics physical song least kitchen these treatment.,2022-10-04 23:24:00
2011,Eco Stand,Snacks & Candy,ConAgra,78.66,208,Night natural onto add my news room myself clear return send state opportunity player just.,2023-02-23 10:16:00
2012,Smart Lamp,Cameras,LG,24.07,71,Environmental idea entire community dinner I within century hour only analysis just do whom.,2022-07-25 00:18:00
2013,Classic Mouse,Exercise & Fitness,Under Armour,295.95,186,Improve have what catch politics baby material administration home part add fish collection two.,2022-02-15 01:07:00
2014,Compact Sneaker,iPhone,Canon,271.29,39,Partner view name next car account detail have several music team south magazine end world authority.,2023-05-05 08:09:00
2015,Essential Dress,Running Shoes,Dell,24.7,201,Instead year certain particular him left example event standard forward someone.,2022-12-02 17:00:00
2016,Compact Tablet,Protein & Supplements,Lenovo,1159.73,445,Himself west final important similar whether physical window meet card cell hear day above believe.,2023-01-06 19:54:00
2017,Smart Pants,iPhone,Canon,24.22,47,The large allow growth score since skin cultural get.,2022-10-06 13:08:00
2018,Lite Jacket,Sofas & Couches,Asus,234.77,279,Success start interest matter hand campaign executive million white serious.,2022-07-21 10:23:00
2019,Classic Monitor,Exercise & Fitness,Patagonia,577.0,141,Yet result open machine determine note chance nothing price bill those music nature according conference walk.,2022-05-06 07:11:00
2020,Eco Tablet,Treadmills,Samsung,616.49,494,Firm her serve impact especially number place once reason manage public.,2022-06-06 02:09:00
2021,Eco Headphone,Casual Shoes,HP,1514.43,416,Tend thousand this others actually three let although.,2022-01-28 11:41:00
2022,Smart Jacket,Bedding & Bath,Cuisinart,91.34,453,Voice expect call across arrive catch your just radio cut man pressure dark feeling whatever.,2022-03-25 10:12:00
2023,Classic Backpack,Makeup,MAC,267.98,285,Baby know brother detail enter job eye give present successful draw west.,2022-05-16 14:12:00
2024,Pro Sofa,Board Games,VTech,9.34,353,Explain property event five culture focus news center contain themselves instead.,2022-11-09 09:47:00
2025,Signature Tablet,Bedding & Bath,Breville,853.21,386,Must nothing save story any church sometimes green identify receive training win.,2022-01-10 00:55:00
2026,Advanced Pillow,Building Toys,Fisher-Price,6.22,392,American less than quality stuff police sport because the.,2023-05-06 04:45:00
2027,Deluxe Cover,Running Shoes,Sony,1967.52,127,Newspaper security money opportunity level whether anything south letter result include court local research court.,2023-05-16 09:26:00
